,후기
10,심플그레이 아주깔끔하고 말그대로 심플하게 모든색과 어울리네요.특히 샤워호스그린색과 조합도 차분하면서 생기있는 욕실이 되었어요.부드러운 밀키한 느낌이 좋아요^-^♡
11,파랑옐로우로 욕실 분위기가 확 사네요~ 아이들도 좋아해요!!
12,말해모해 너무 이뻐요 이뻐요 !!! 샤워기 헤드는 다른곳에서 구매한건데 원래 샤워줄이 은색이어서 색상줄 하고 싶었는대없어서 못했었거든요 ㅠ 그러다 바디럽을 만났지 모에요 !! 색상이 너무 많아서 고민하다 골랐는대 잘 어울리는거 같고 뭔가 더 힙한 느낌이에요 씻을때마다 기분이 상쾌해져요 ㅎㅎ 다른 곳이랑도 비교해 봤는대 가격두 더 저렴하고 레몬색상은 특히 찾기 어렵더라구요 완전완전 대대대대 대만족이예요다른색도 사고 싶어요 ~~
13,호스 주황색 쨍하고 예뻐여 ㅋㅋㅋㅋ기존 샤워기메탈줄은 사이사이 때끼는게 신경쓰였는데 더이상 걱정이없네요^^
14,너무귀여워서 안살수가없었어요 애들이 너무 좋아해요
15,비누받침 써보고 좋기도 하고 집이 좀 오래된 집이라양치하는 물이며 샤워하는 물이 불안해서 구매해봤는데수압도 쎄고 무엇보다 샤워기줄 물때 걱정없이 살 수 있을거 같아요~~사자마자 바로 빅세일 들어가서 마음이 좀 아프긴했지만 제품력 좋아서  만족합니다^^
16,샤워 물줄기조 타사 샤워디보다 월등히 쎄고 디자인도 좋고필터도 제기능 잘해주고요 두번째 구매에요 망설이지 말고 구매 굿 커버또한 인테리어 효과까지 이뻐요
17,이거 아주 필요햇던것임ㅋㅋ
18,우선 이 커버를 왜샀냐면 머리쪽 쇠부분이 깨져서 자꾸 몸에 긁히기 때문에 샀음요.사용한지 2년되었지만 구매후 얼마안되 저 크롬부분 금가고 깨졌고 저것만 따로 구매할수 없냐고 문의했더니 새제품사야된다고 했음.돈아까워서 사포하나 사서 크롬쪽 갈아서 썼고 쓰다쓰다 계속 베이는것 때문에 근래에 승질나서 새 샤워기 사러왔음. 근데 커버보고나서 새거살까 커버살까 고민하다가 새거도 금방 깨지겠지 싶어서 커버만 샀구요. 저랑 같은분을  리뷰에서 봐서 반가웠슴다. 이제 크롬쪽때문에 살베이진 않겠지요. 커버가 인테리어도 있겠지만 이런 문제 있는거 아는거 같은데 as차원으로 크롬만 따로 팔았음 좋겠어요. 커버자체는 이쁘고 마음에 듭니다. 컬러 상큼하고 그립감도 좋아요. 욕실화사하게 포인트 살려줍니다
19,우선 오래 사용하면 샤워기 앞쪽 크롬 부분이 까지면서 살에 베이는경우가 있더라구요 물론 사용하는방법에 따라 안벗겨잘 수도 있어요 바디럽 시즌1 샤워기에는 필수품이라고 생각됩니다 플러스로 인테리어 효과까지 만점이 모자랄정도 랍니다
20,샤워기가 플라스틱소재라 사용하다가 바닥에 잘못 떨어뜨려서 약간 깨져서 샤워기헤드교체할까해서 들어와보니 마침 샤워커버가 눈에띄어 구입하게되었는데 결론은 대만족입니다^^
21,바디럽 샤워기 사용하는데 유일한 단점이 저 앞부분이 오래사용하면 다 까진다는 거에요ㅠ 기스도 많이나고 그래서 커버사서 끼웠는데 너무 이쁘고 실용적이에요! 추천드려요
22,밑밑한 일반 호스에서 상큼한 색상으로변경하니아이들도 좋아하고 정수기능까지 기분즇게 사용하네요
23,아주 잘 사용하고 있습니다 주름관이 아니라서 깔끔하고 색도 정말 예뻐요샤워호스 말고 다른 제품도 구매하고 싶어집니다
24,전체적으로 파스텔 톤의 커버가 이뻐요~ 전체적으로 흰색 타일 벽에 어울리는 톤이에요. 아이가 자주 사용하는 화장실에 데코용으로 설치하려고 산건데 잘 선택한 것 같아요ㅎㅎ
25,욕실이 귀여워집니다 인테리어효과로좋아요
26,오래전부터 써왔는데 이젠 갈아타야 할듯. 장사가 잘되서 그런가 이벤트도 공지없이 하는데 전날 구매한거 교환결제로 해도 되냐니까 반품비 내고 다시 주문해서 받으라니. 그냥 하루차이로 주문해서 바보됬네
27,너무이뻐요맘에들어요  색도유니크한게이쁘고기분전환도되요
28,버터옐로우 색상이 품절이어서 보름정도 기다려서 받았습니다당장 없으면 큰일나는 상품이 아니기에 여유롭게 기다렸는데요결과는 너무너무 맘에 드네요~ 밀키한 색상이 넘 화사하니 예쁩니디샤워기랑 샤워기 커버 사이에 물이 고이는데 물때가 끼지 않기만을바래봅니다~!
29,샤워기 호스 따로 안 팔아서 세트로 구매했는데 호스는좋아요. 화사하게 인테리어하려고 일부러 커버 구매했는데 생각보다 저렴해 보이네요…빼고 끼우기 너무 불편하고 그에비해 손잡이 부분이 따있어서 물곰팡이 피지 않을까 걱정되네요.
30,부모님댁 샤워기를 바꿔드렸는데너무 이쁘다고 맘에 들어하십니다
31,"아기를 샤워기로 직접 씻기는데 그때 마다 샤워기랑 호스를 손으로 잡으려고 해요. 근데 집에 있는 메탈호스는 틈새에 물때도 잘 끼고 날카로운?느낌이라 다칠 것 같아서 손으로 막 잡아도 걱정없는걸 사려고 검색하다가 고른게 바디럽 필터샤워기+실리콘헤드,샤워호스에요! 필터가 있어 안심이고, 커버랑 호스 색감까지 이뻐서 아이가 목욕시간을 더 좋아할 것 같아요 :) 남편도 퇴근하고 보더니 반했어요 ㅎㅎ 너무 마음에 듭니다! 쓰다가 다른 색상도 구입해서 기분전환?하려구요!"
32,색상고르기난감했지만 아주잘골랏고 아주너무너무맘에쏙드네요파스텔적인 색상이 욕실을더욱더 환하게 보이게하고들어있는 스패너로 여성혼자도 거뜬히 할수있어서교체도 너무쉬었구요 좋은제품 구매잘했네요
33,늘 쓰던거라 제품은 괜찮은데샤워기 커버 안에 나중에 곰팡이 생기면 어떡하지요?
34,끼울 때 약간 빡빡하긴 했는데 그래도 끼워두니 색상이 쨍하고 너무 맘에 듭니다. 끼우고 나니 약간 더 무거워지긴 했구요. 호스도 같이 살걸 후회중이에요
35,"구입하고 바로 세일하길래 취소, 재결제 하려고 했는데 배송준비중ㅜㅜ 그런데 정작 배송은 좀 걸렸고;;그래도 설치하고 나니 기분전환 되네요ㅋ 기존에 바디럽 미니언즈 샤워기 사용했는데 교체한다고 막내가 좀 아쉬워 하긴 하지만 사진보다 더 예쁘고 깔끔해요"
36,컬러풀한 욕실로 가장 쉽게 리모델링 하는 방법!
37,"샤워호스는 매끄러운 표면이라 세척하기 쉽고, 꼬임방지 특허기술로 절대 꼬이지 않는답니다"
38,샤워수압도 더 좋아진 것 같은 느낌이라 예전보다 샤워시간이 더 즐거워졌는데요
39,호스도 매끈해서 때가 잘 안탈것 같고 색깔이 넘 귀여워요~
40,진짜 넘 기여워여.. 살 생각 없엇다가 1세대 헤드만 삿는데 집에 기존에 잇던 샤워기가 호스부분이 분리가 안되서 함 삿는데 넘 맘에 들어요 당근!!
41,호수 위부분이 깨져서 너무 난감했던때에 너무 이쁜 호수를 구매하게되었네요애기들이있어서 더더욱이 잘 사용할것같아요
42,욕조에 긁히는 것을 방지하고 청소를 의해 2m로 구입했어요~색상도 예쁘고 꼬임도 없어서 사용하기 편하네요~
43,이쁩니다.욕실 분위기가 달라졌어요.잘 쓰겠습니다.
44,예쁠걸 기대하고 구매했는데 생각보다 색이 별로에요ㅠ 칙칙한 화장실의 분위기가 바뀔줄 알았는데 걍 그래요
45,색깔을 스카이블루와 빈티지 그린 조화로 맞추었는데 욕실분위기가 확달라지고 아이도 너무 좋아하고 저도 만족스러워요. 호스에서 나오는 때 때문에 위생이나 샤워할때마다 징그러웠는데 실리콘 호스때문에 너무 좋아요. 기분 좋은 샤워했습니다.
46,너무 맘에들어요^^딸램 취저~♥︎디쟌도좋구 그립감도좋습니당~^^
47,욕실이 화사해졌어요~ 갈아끼우는 것도 간편하고 호스가 거추장스럽지 않고 산뜻해서 예뻐요^^
48,색상 너무 이쁘고 귀여워요보는 사람마다 어디서 샀냐구 계속 물어보네요 ㅋ
49,늘 쓰던 샤워기에 커버를 같이 주문했는데  너무너무 예쁘게 설치되었답니다.
